year,state_po,candidate,candidatevotes
2020,AL,"BIDEN, JOSEPH R. JR",849624
2020,AL,"TRUMP, DONALD J.",1441170
2020,AL,"JORGENSEN, JO",25176
2020,AL,,7312
2020,AK,"BIDEN, JOSEPH R. JR",153778
2020,AK,"TRUMP, DONALD J.",189951
2020,AK,"JORGENSEN, JO",8897
2020,AK,"DE LA FUENTE, ROQUE """"ROCKY""""",318
2020,AK,"PIERCE, BROCK",825
2020,AK,"JANOS, JAMES G. ""JESSE VENTURA""",2673
2020,AK,"BLANKENSHIP, DON",1127
2020,AK,,1961
2020,AZ,"BIDEN, JOSEPH R. JR",1672143
2020,AZ,"TRUMP, DONALD J.",1661686
2020,AZ,"JORGENSEN, JO",51465
2020,AZ,"LA RIVA, GLORIA ESTELLA",190
2020,AZ,"CUMMINGS, DANIEL CLYDE",36
2020,AZ,"SIMMONS, JADE",236
2020,AZ,"BODDIE, R. PRESIDENT",13
2020,AZ,"HAWKINS, HOWIE",1557
2020,AR,"CARROLL, BRIAN",1713
2020,AR,"BLANKENSHIP, DON",2108
2020,AR,"BIDEN, JOSEPH R. JR",423932
2020,AR,"HAWKINS, HOWIE",2980
2020,AR,"PIERCE, BROCK",2141
2020,AR,"GAMMON, C. L.",1475
2020,AR,"WEST, KANYE",4099
2020,AR,"COLLINS, PHIL",2812
2020,AR,"DE LA FUENTE, ROQUE """"ROCKY""""",1321
2020,AR,"JORGENSEN, JO",13133
2020,AR,"MYERS, JOHN RICHARD",1372
2020,AR,"TRUMP, DONALD J.",760647
2020,AR,"LA RIVA, GLORIA ESTELLA",1336
2020,CA,"BIDEN, JOSEPH R. JR",11110250
2020,CA,"TRUMP, DONALD J.",6006429
2020,CA,"JORGENSEN, JO",187895
2020,CA,"HAWKINS, HOWIE",81029
2020,CA,"DE LA FUENTE, ROQUE """"ROCKY""""",60160
2020,CA,"LA RIVA, GLORIA ESTELLA",51037
2020,CA,"CARROLL, BRIAN",2605
2020,CA,"JANOS, JAMES G. ""JESSE VENTURA""",611
2020,CA,MARK CHARLES,559
2020,CA,"PIERCE, BROCK",185
2020,CA,JOSEPH KISHORE,121
2020,CO,"BIDEN, JOSEPH R. JR",1804352
2020,CO,"TRUMP, DONALD J.",1364607
2020,CO,"JORGENSEN, JO",52460
2020,CO,"HAWKINS, HOWIE",8986
2020,CO,"LA RIVA, GLORIA ESTELLA",1035
2020,CO,"DE LA FUENTE, ROQUE """"ROCKY""""",636
2020,CO,"PIERCE, BROCK",572
2020,CO,"WEST, KANYE",8089
2020,CO,"BLANKENSHIP, DON",5061
2020,CO,"HAMMONS, BILL",2730
2020,CO,"HUBER, BLAKE",355
2020,CO,"CARROLL, BRIAN",25515
2020,CO,"CHARLES, MARK",2011
2020,CO,"COLLINS, PHIL",568
2020,CO,"HUNTER, PHIL",379
2020,CO,"JACOB?FAMBRO, PRINCESS KHADIJAH MARYAM",495
2020,CO,"KENNEDY, ALYSON",354
2020,CO,"KISHORE, JOSEPH",196
2020,CO,"KOPITKE, KYLE KENLEY",762
2020,CO,"MCHUGH, JOE",614
2020,CO,"SCOTT, JORDAN ""CANCER""",175
2020,CO,"CELLA, TODD",4
2020,CO,"HOEFLING, TOM",24
2020,CT,"BIDEN, JOSEPH R. JR",1080831
2020,CT,"TRUMP, DONALD J.",714717
2020,CT,"JORGENSEN, JO",20230
2020,CT,"HAWKINS, HOWIE",7538
2020,CT,"CARROLL, BRIAN",219
