State/Territory/Tribal Nation,Total (Billions),Population,Total Representatives,Republican Reps,Democratic Reps,Republican Senators,Democratic Senators,Electoral Votes,2020 Trump EVs,2020 Biden EVs,2024 Trump EVs,2024 Harris EVs
ALABAMA,3.0000,5237750,7,5,2,2,0,9,9,0,9,0
ALASKA,3.7000,747379,1,1,0,2,0,3,3,0,3,0
AMERICAN SAMOA,0.0686,N/A,0,0,0,0,0,0,0,0,0,0
ARIZONA,3.5000,7801100,9,6,3,0,2,11,0,11,11,0
ARKANSAS,2.8000,3126140,4,4,0,2,0,6,6,0,6,0
CALIFORNIA,18.4000,39896400,52,9,43,0,2,54,0,55,0,54
COLORADO,3.2000,6069800,8,4,4,0,2,10,0,9,0,10
CONNECTICUT,2.5000,3739160,5,0,5,0,2,7,0,7,0,7
DELAWARE,0.7920,1082900,1,0,1,0,2,3,0,3,0,3
DISTRICT OF COLUMBIA,1.1000,732102,0,0,0,0,0,3,0,3,0,3
FLORIDA,8.2000,24306900,28,20,8,2,0,30,29,0,30,0
GEORGIA,5.0000,11413800,14,9,5,0,2,16,0,16,16,0
GUAM,0.1426,N/A,0,0,0,0,0,0,0,0,0,0
HAWAII,1.0000,1455660,2,0,2,0,2,4,0,4,0,4
IDAHO,1.2000,2062610,2,2,0,2,0,4,4,0,4,0
ILLINOIS,8.4000,12846000,17,3,14,0,2,19,0,20,0,19
INDIANA,3.4000,7012560,9,7,2,2,0,11,11,0,11,0
IOWA,2.4000,3287640,4,4,0,2,0,6,6,0,6,0
KANSAS,1.5000,3008820,4,3,1,2,0,6,6,0,6,0
KENTUCKY,3.9000,4663930,6,5,1,2,0,8,8,0,8,0
LOUISIANA,4.3000,4617080,6,4,2,2,0,8,8,0,8,0
MAINE,1.1000,1415740,2,0,2,1,1,4,1,3,1,3
MARYLAND,2.7000,6355540,8,1,7,0,2,10,0,10,0,10
MASSACHUSETTS,3.6000,7275380,9,0,9,0,2,11,0,11,0,11
MICHIGAN,5.2000,10254700,13,7,6,0,2,15,0,16,15,0
MINNESOTA,2.7000,5873360,8,4,4,0,2,10,0,10,0,10
MISSISSIPPI,2.3000,2942790,4,3,1,2,0,6,6,0,6,0
MISSOURI,3.8000,6320320,8,6,2,2,0,10,10,0,10,0
MONTANA,3.3000,1149100,2,2,0,2,0,4,3,0,4,0
NEBRASKA,1.3000,2040670,3,3,0,2,0,5,4,1,4,1
NEVADA,1.7000,3373680,4,1,3,0,2,6,0,6,6,0
NEW HAMPSHIRE,0.7518,1422700,2,0,2,0,2,4,0,4,0,4
NEW JERSEY,5.1000,9743270,12,3,8,0,2,14,0,14,0,14
NEW MEXICO,2.6000,2148440,3,0,3,0,2,5,0,5,0,5
NEW YORK,10.1000,20127000,26,7,19,0,2,28,0,29,0,28
NORTH CAROLINA,4.5000,11375700,14,10,4,2,0,16,15,0,16,0
NORTH DAKOTA,1.8000,811610,1,1,0,2,0,3,3,0,3,0
NORTHERN MARIANA ISLANDS,0.0833,N/A,0,0,0,0,0,0,0,0,0,0
OHIO,6.6000,12001800,15,10,5,2,0,17,18,0,17,0
OKLAHOMA,2.9000,4158420,5,5,0,2,0,7,7,0,7,0
OREGON,2.3000,4309810,6,1,5,0,2,8,0,7,0,8
PENNSYLVANIA,8.1000,13200800,17,10,7,1,1,19,0,20,19,0
PUERTO RICO,0.9937,3202300,0,0,0,0,0,0,0,0,0,0
RHODE ISLAND,1.1000,1130070,2,0,2,0,2,4,0,4,0,4
SOUTH CAROLINA,2.3000,5660830,7,6,1,2,0,9,9,0,9,0
SOUTH DAKOTA,1.3000,937397,1,1,0,2,0,3,3,0,3,0
TENNESSEE,3.7000,7386640,9,8,1,2,0,11,11,0,11,0
TEXAS,14.2000,32416700,38,25,12,2,0,40,38,0,40,0
TRIBAL COMMUNITIES,3.0000,N/A,0,0,0,0,0,0,0,0,0,0
US VIRGIN ISLANDS,0.1483,N/A,0,0,0,0,0,0,0,0,0,0
UTAH,1.8000,3624400,4,4,0,2,0,6,6,0,6,0
VERMONT,0.8521,648063,1,0,1,0,2,3,0,3,0,3
VIRGINIA,4.5000,8964220,11,5,6,0,2,13,0,13,0,13
WASHINGTON,4.0000,8159900,10,2,8,0,2,12,0,12,0,12
WEST VIRGINIA,2.0000,1768950,2,2,0,2,0,4,5,0,4,0
WISCONSIN,2.8000,6022120,8,6,2,1,1,10,0,10,10,0
WYOMING,2.3000,592720,1,1,0,2,0,3,3,0,3,0
