"GEOIDFQ","Name","ST","Square_Miles","Latitude","Longitude","Electoral_College","Winner_2024","Votes_Dem_2024","Percent_Dem_2024","Votes_GOP_2024","Percent_GOP_2024","Votes_Other_2024","Percent_Other_2024","Winner_2020","Votes_Dem_2020","Percent_Dem_2020","Votes_GOP_2020","Percent_GOP_2020","Votes_Other_2020","Percent_Other_2020","Winner_2016","Votes_Dem_2016","Percent_Dem_2016","Votes_GOP_2016","Percent_GOP_2016","Votes_Other_2016","Percent_Other_2016","Winner_2012","Votes_Dem_2012","Percent_Dem_2012","Votes_GOP_2012","Percent_GOP_2012","Votes_Other_2012","Percent_Other_2012","Senate1_Name","Senate1_Party","Senate1_Year","Senate1_Votes","Senate1_Percent","Senate2_Name","Senate2_Party","Senate2_Year","Senate2_Votes","Senate2_Percent","Senate3_Name","Senate3_Party","Senate3_Year","Senate3_Votes","Senate3_Percent","Total_Population","Median_Household_Income","Median_Age","Percent_Under_18","Percent_Bachelors_Degree"
"0400000US01","Alabama","AL",50651,32.78,-86.83,9,"Donald J. Trump",772412,34.1,1462616,64.57,30062,1.33,"Donald J. Trump",849624,36.57,1441170,62.03,32488,1.4,"Donald J. Trump",729547,34.36,1318255,62.08,75570,3.56,"Mitt Romney",795696,38.36,1255925,60.55,22717,1.09,,,,,,"Tommy Tuberville","Republican",2020,1392076,60.1,"Katie Boyd Britt","Republican",2022,942154,66.62,5054253,62027,39.3,22.3,17
"0400000US02","Alaska","AK",571049,63.94,-152.4,3,"Donald J. Trump",140026,41.41,184458,54.54,13693,4.05,"Donald J. Trump",153778,43.01,189951,53.12,13840,3.87,"Donald J. Trump",116454,37.79,163387,53.02,28326,9.19,"Mitt Romney",122424,40.75,163757,54.51,14249,4.74,,,,,,"Dan Sullivan","Republican",2020,191112,53.99,"Lisa Murkowski","Republican",2022,138149,34.55,733971,89336,35.6,24.3,19.6
"0400000US04","Arizona","AZ",113655,34.27,-111.66,11,"Donald J. Trump",1582860,46.69,1770242,52.22,37059,1.09,"Joseph R. Biden",1672143,49.39,1661686,49.09,51465,1.52,"Donald J. Trump",1161167,45.46,1252401,49.03,140672,5.51,"Mitt Romney",1025232,44.59,1233654,53.66,40317,1.75,"Ruben Gallego","Democratic",2024,1676335,50.07,,,,,,"Mark Kelly","Democratic",2022,1322027,51.39,7268175,76872,38.8,21.9,20
"0400000US05","Arkansas","AR",51992,34.89,-92.44,6,"Donald J. Trump",396905,33.56,759241,64.2,26530,2.24,"Donald J. Trump",423932,34.78,760647,62.4,34490,2.82,"Donald J. Trump",380494,33.65,684872,60.57,65310,5.78,"Mitt Romney",394409,36.88,647744,60.57,27315,2.55,,,,,,"Tom Cotton","Republican",2020,793871,66.53,"John Boozman","Republican",2022,592437,65.73,3032651,58773,38.4,23.3,15.9
"0400000US06","California","CA",155858,37.18,-119.47,54,"Kamala D. Harris",9276179,58.47,6081697,38.33,507599,3.2,"Joseph R. Biden",11110250,63.48,6006429,34.32,384202,2.2,"Hillary R. Clinton",8753788,61.73,4483810,31.62,943997,6.65,"Barack H. Obama",7854285,60.24,4839958,37.12,344304,2.64,"Adam B. Schiff","Democratic",2024,9036252,58.87,,,,,,"Alex Padilla","Democratic",2022,6621616,61.06,39242785,96334,37.6,22.2,22.4
"0400000US08","Colorado","CO",103637,39,-105.55,10,"Kamala D. Harris",1728159,54.16,1377441,43.17,85273,2.67,"Joseph R. Biden",1804352,55.4,1364607,41.9,88021,2.7,"Hillary R. Clinton",1338870,48.16,1202495,43.25,238882,8.59,"Barack H. Obama",1323102,51.49,1185243,46.13,61177,2.38,,,,,,"John W. Hickenlooper","Democratic",2020,1731114,53.5,"Michael Bennet","Democratic",2022,1397170,55.88,5810774,92470,37.5,21.4,27.7
"0400000US09","Connecticut","CT",4842,41.62,-72.73,7,"Kamala D. Harris",992053,56.4,736918,41.89,30039,1.71,"Joseph R. Biden",1080831,59.26,714717,39.19,28309,1.55,"Hillary R. Clinton",891436,54.65,666350,40.85,73466,4.5,"Barack H. Obama",898443,58.16,628562,40.69,17877,1.15,"Christopher S. Murphy","Democratic",2024,953646,55.83,,,,,,"Richard Blumenthal","Democratic",2022,723864,57.45,3598348,93760,41.2,20.4,23
"0400000US10","Delaware","DE",1949,38.98,-75.5,3,"Kamala D. Harris",289758,56.63,214351,41.89,7588,1.48,"Joseph R. Biden",296268,58.78,200603,39.8,7139,1.42,"Hillary R. Clinton",235603,53.35,185127,41.92,20860,4.73,"Barack H. Obama",242584,58.61,165484,39.98,5822,1.41,"Lisa Blunt Rochester","Democratic",2024,283298,56.59,"Christopher A. Coons","Democratic",2020,291804,59.44,,,,,,1005872,82855,41.5,20.9,20.3
"0400000US11","District of Columbia","DC",61,38.9,-77.02,3,"Kamala D. Harris",294185,90.28,21076,6.47,10608,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672079,106287,34.9,18.7,26.1
"0400000US12","Florida","FL",53654,28.62,-82.46,30,"Donald J. Trump",4683038,42.99,6110125,56.09,100589,0.92,"Donald J. Trump",5297045,47.86,5668731,51.22,101680,0.92,"Donald J. Trump",4504975,47.82,4617886,49.02,297178,3.16,"Barack H. Obama",4237756,50.01,4163447,49.13,72976,0.86,"Rick Scott","Republican",2024,5977706,55.57,,,,,,"Marco Rubio (Ashley Moody)","Republican",2022,4474847,57.68,21928881,71711,42.6,19.6,20.7
"0400000US13","Georgia","GA",57716,32.64,-83.44,16,"Donald J. Trump",2548017,48.53,2663117,50.73,38913,0.74,"Joseph R. Biden",2473633,49.5,2461854,49.26,62229,1.24,"Donald J. Trump",1877963,45.89,2089104,51.05,125306,3.06,"Mitt Romney",1773827,45.51,2078688,53.33,45324,1.16,,,,,,"Jon Ossoff","Democratic",2020,2269923,50.61,"Raphael G. Warnock","Democratic",2022,1820633,51.4,10822590,74664,37.4,23.5,20.7
