period_raw,period,name,state_abbr
2019,2019,Alabama,AL
2020,2020,Alabama,AL
2021,2021,Alabama,AL
2022,2022,Alabama,AL
2023,2023,Alabama,AL
2024,2024,Alabama,AL
2019,2019,Alaska,AK
2020,2020,Alaska,AK
2021,2021,Alaska,AK
2022,2022,Alaska,AK
2023,2023,Alaska,AK
2024,2024,Alaska,AK
2019,2019,Arizona,AZ
2020,2020,Arizona,AZ
2021,2021,Arizona,AZ
2022,2022,Arizona,AZ
2023,2023,Arizona,AZ
2024,2024,Arizona,AZ
2019,2019,Arkansas,AR
2020,2020,Arkansas,AR
2021,2021,Arkansas,AR
2022,2022,Arkansas,AR
2023,2023,Arkansas,AR
2024,2024,Arkansas,AR
2019,2019,California,CA
2020,2020,California,CA
2021,2021,California,CA
2022,2022,California,CA
2023,2023,California,CA
2024,2024,California,CA
2019,2019,Colorado,CO
2020,2020,Colorado,CO
2021,2021,Colorado,CO
2022,2022,Colorado,CO
2023,2023,Colorado,CO
2024,2024,Colorado,CO
2019,2019,Connecticut,CT
2020,2020,Connecticut,CT
2021,2021,Connecticut,CT
2022,2022,Connecticut,CT
2023,2023,Connecticut,CT
2024,2024,Connecticut,CT
2019,2019,Delaware,DE
2020,2020,Delaware,DE
2021,2021,Delaware,DE
2022,2022,Delaware,DE
2023,2023,Delaware,DE
2024,2024,Delaware,DE
2019,2019,District of Columbia,NA
2020,2020,District of Columbia,NA
2021,2021,District of Columbia,NA
2022,2022,District of Columbia,NA
2023,2023,District of Columbia,NA
2024,2024,District of Columbia,NA
2019,2019,Florida,FL
2020,2020,Florida,FL
2021,2021,Florida,FL
2022,2022,Florida,FL
2023,2023,Florida,FL
2024,2024,Florida,FL
2019,2019,Georgia,GA
2020,2020,Georgia,GA
2021,2021,Georgia,GA
2022,2022,Georgia,GA
2023,2023,Georgia,GA
2024,2024,Georgia,GA
2019,2019,Hawaii,HI
2020,2020,Hawaii,HI
2021,2021,Hawaii,HI
2022,2022,Hawaii,HI
2023,2023,Hawaii,HI
2024,2024,Hawaii,HI
2019,2019,Idaho,ID
2020,2020,Idaho,ID
2021,2021,Idaho,ID
2022,2022,Idaho,ID
2023,2023,Idaho,ID
2024,2024,Idaho,ID
2019,2019,Illinois,IL
2020,2020,Illinois,IL
2021,2021,Illinois,IL
2022,2022,Illinois,IL
2023,2023,Illinois,IL
2024,2024,Illinois,IL
2019,2019,Indiana,IN
2020,2020,Indiana,IN
2021,2021,Indiana,IN
2022,2022,Indiana,IN
2023,2023,Indiana,IN
2024,2024,Indiana,IN
2019,2019,Iowa,IA
2020,2020,Iowa,IA
2021,2021,Iowa,IA
2022,2022,Iowa,IA
2023,2023,Iowa,IA
2024,2024,Iowa,IA
2019,2019,Kansas,KS
2020,2020,Kansas,KS
2021,2021,Kansas,KS
2022,2022,Kansas,KS
2023,2023,Kansas,KS
2024,2024,Kansas,KS
2019,2019,Kentucky,KY
2020,2020,Kentucky,KY
2021,2021,Kentucky,KY
2022,2022,Kentucky,KY
2023,2023,Kentucky,KY
2024,2024,Kentucky,KY
2019,2019,Louisiana,LA
