geoid,name,st_geoid,st_name,intent,period,count_sup,rate,rate_m,rate_m_ci,data_as_of,ttm_date_range
20165,Rush County,20,Kansas,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
49009,Daggett County,49,Utah,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
48031,Blanco County,48,Texas,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
31169,Thayer County,31,Nebraska,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
13037,Calhoun County,13,Georgia,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
16061,Lewis County,16,Idaho,FA_Deaths,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
19029,Cass County,19,Iowa,FA_Suicide,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
48369,Parmer County,48,Texas,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
56015,Goshen County,56,Wyoming,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
48197,Hardeman County,48,Texas,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
48307,McCulloch County,48,Texas,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
16003,Adams County,16,Idaho,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
48119,Delta County,48,Texas,Drug_OD,2024,0,0,0,NA,2026-02-11T00:00:00Z,NA
18027,Daviess County,18,Indiana,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
48301,Loving County,48,Texas,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
48319,Mason County,48,Texas,FA_Deaths,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
20163,Rooks County,20,Kansas,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
55049,Iowa County,55,Wisconsin,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
31037,Colfax County,31,Nebraska,Drug_OD,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
39019,Carroll County,39,Ohio,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
13037,Calhoun County,13,Georgia,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
31171,Thomas County,31,Nebraska,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
29087,Holt County,29,Missouri,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
13109,Evans County,13,Georgia,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
48063,Camp County,48,Texas,FA_Deaths,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
29153,Ozark County,29,Missouri,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
30027,Fergus County,30,Montana,Drug_OD,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
40007,Beaver County,40,Oklahoma,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
48023,Baylor County,48,Texas,Drug_OD,2024,0,0,0,NA,2026-02-11T00:00:00Z,NA
20027,Clay County,20,Kansas,FA_Deaths,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
19027,Carroll County,19,Iowa,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
48235,Irion County,48,Texas,Drug_OD,2023,0,0,0,NA,2026-02-11T00:00:00Z,NA
48431,Sterling County,48,Texas,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
20193,Thomas County,20,Kansas,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
30059,Meagher County,30,Montana,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
30101,Toole County,30,Montana,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
05039,Dallas County,05,Arkansas,Drug_OD,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
08049,Grand County,08,Colorado,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
31127,Nemaha County,31,Nebraska,Drug_OD,2020,0,0,0,NA,2026-02-11T00:00:00Z,NA
01105,Perry County,01,Alabama,Drug_OD,2022,0,0,0,NA,2026-02-11T00:00:00Z,NA
48095,Concho County,48,Texas,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
20025,Clark County,20,Kansas,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
31113,Logan County,31,Nebraska,Drug_OD,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
32011,Eureka County,32,Nevada,Drug_OD,2024,0,0,0,NA,2026-02-11T00:00:00Z,NA
48387,Red River County,48,Texas,FA_Homicide,2019,0,0,0,NA,2026-02-11T00:00:00Z,NA
48421,Sherman County,48,Texas,FA_Suicide,2021,0,0,0,NA,2026-02-11T00:00:00Z,NA
12039,Gadsden County,12,Florida,Drug_OD,2020,1-9,16.3,1,10.3-27.6,2026-02-11T00:00:00Z,NA
