state,year,grade,likert,state_abbr
Alabama,2017,F,1,AL
Alaska,2017,F,1,AK
Arizona,2017,F,1,AZ
Arkansas,2017,F,1,AR
California,2017,A,5,CA
Colorado,2017,C,3,CO
Connecticut,2017,A-,5,CT
Delaware,2017,B,4,DE
Florida,2017,F,1,FL
Georgia,2017,F,1,GA
Hawaii,2017,A-,5,HI
Idaho,2017,F,1,ID
Illinois,2017,B+,4,IL
Indiana,2017,D-,2,IN
Iowa,2017,C-,3,IA
Kansas,2017,F,1,KS
Kentucky,2017,F,1,KY
Louisiana,2017,F,1,LA
Maine,2017,F,1,ME
Maryland,2017,A-,5,MD
Massachusetts,2017,A-,5,MA
Michigan,2017,C,3,MI
Minnesota,2017,C+,3,MN
Mississippi,2017,F,1,MS
Missouri,2017,F,1,MO
Montana,2017,F,1,MT
Nebraska,2017,D,2,NE
Nevada,2017,D,2,NV
New Hampshire,2017,F,1,NH
New Jersey,2017,A-,5,NJ
New Mexico,2017,F,1,NM
New York,2017,A-,5,NY
North Carolina,2017,D-,2,NC
North Dakota,2017,F,1,ND
Ohio,2017,D,2,OH
Oklahoma,2017,F,1,OK
Oregon,2017,C,3,OR
Pennsylvania,2017,C,3,PA
Rhode Island,2017,B+,4,RI
South Carolina,2017,F,1,SC
South Dakota,2017,F,1,SD
Tennessee,2017,D-,2,TN
Texas,2017,F,1,TX
Utah,2017,F,1,UT
Vermont,2017,F,1,VT
Virginia,2017,D,2,VA
Washington,2017,B,4,WA
West Virginia,2017,F,1,WV
Wisconsin,2017,C-,3,WI
Wyoming,2017,F,1,WY
Alabama,2018,F,1,AL
Alaska,2018,F,1,AK
Arizona,2018,F,1,AZ
Arkansas,2018,F,1,AR
California,2018,A,5,CA
Colorado,2018,C,3,CO
Connecticut,2018,A-,5,CT
Delaware,2018,B,4,DE
Florida,2018,C-,3,FL
Georgia,2018,F,1,GA
Hawaii,2018,A-,5,HI
Idaho,2018,F,1,ID
Illinois,2018,B+,4,IL
Indiana,2018,D-,2,IN
Iowa,2018,C,3,IA
Kansas,2018,F,1,KS
Kentucky,2018,F,1,KY
Louisiana,2018,F,1,LA
Maine,2018,F,1,ME
Maryland,2018,A-,5,MD
Massachusetts,2018,A-,5,MA
Michigan,2018,C,3,MI
Minnesota,2018,C+,3,MN
Mississippi,2018,F,1,MS
Missouri,2018,F,1,MO
Montana,2018,F,1,MT
Nebraska,2018,C-,3,NE
Nevada,2018,D,2,NV
New Hampshire,2018,F,1,NH
New Jersey,2018,A,5,NJ
New Mexico,2018,F,1,NM
New York,2018,A-,5,NY
North Carolina,2018,D,2,NC
North Dakota,2018,F,1,ND
Ohio,2018,D,2,OH
Oklahoma,2018,F,1,OK
Oregon,2018,C+,3,OR
Pennsylvania,2018,C+,3,PA
Rhode Island,2018,B+,4,RI
South Carolina,2018,F,1,SC
South Dakota,2018,F,1,SD
Tennessee,2018,D-,2,TN
