year,temp_anomaly,tornado_count,tornado_injuries,tornado_deaths,tornado_damage,hurricane_count,avg_wind,max_wind,avg_pressure,min_pressure
1950,-0.17,223.0,659.0,70.0,0.0,,,,,
1951,-0.07,269.0,524.0,34.0,0.0,,,,,
1952,0.01,272.0,1916.0,231.0,0.0,,,,,
1953,0.08,492.0,5131.0,519.0,0.0,,,,,
1954,-0.13,609.0,715.0,36.0,0.0,,,,,
1955,-0.14,1413.0,926.0,129.0,0.0,,,,,
1956,-0.19,1703.0,1355.0,83.0,0.0,,,,,
1957,0.05,2184.0,1976.0,193.0,0.0,,,,,
1958,0.06,2213.0,535.0,67.0,0.0,,,,,
1959,0.03,1813.0,734.0,58.0,0.0,,,,,
1960,-0.02,1945.0,737.0,46.0,0.0,,,,,
1961,0.06,2246.0,1087.0,52.0,0.0,,,,,
1962,0.03,2389.0,551.0,30.0,0.0,,,,,
1963,0.05,1968.0,538.0,31.0,0.0,,,,,
1964,-0.2,2348.0,1148.0,73.0,0.0,,,,,
1965,-0.11,2835.0,5197.0,301.0,0.0,,,,,
1966,-0.06,2388.0,2030.0,98.0,0.0,,,,,
1967,-0.02,2688.0,2144.0,114.0,0.0,,,,,
1968,-0.08,3312.0,2522.0,131.0,0.0,,,,,
1969,0.05,2926.0,1311.0,66.0,0.0,,,,,
1970,0.03,3215.0,1355.0,73.0,0.0,,,,,
1971,-0.08,3471.0,2723.0,159.0,0.0,,,,,
1972,0.01,2171.0,1027.0,34.0,0.0,,,,,
1973,0.16,4453.0,2402.0,89.0,0.0,,,,,
1974,-0.07,5375.0,6824.0,366.0,0.0,,,,,
1975,-0.01,4975.0,1457.0,60.0,0.0,,,,,
1976,-0.1,3768.0,1195.0,44.0,0.0,,,,,
1977,0.18,3728.0,771.0,43.0,0.0,,,,,
1978,0.07,3657.0,919.0,53.0,0.0,,,,,
1979,0.16,4279.0,3014.0,84.0,0.0,,,,,
1980,0.25,6136.0,1157.0,28.0,0.0,110.0,49.45722776480577,165.0,985.060707456979,890.0
1981,0.32,4517.0,798.0,24.0,0.0,111.0,46.579593564775614,150.0,989.1358135365307,895.0
1982,0.14,7126.0,1276.0,64.0,0.0,117.0,48.54586046511628,140.0,985.9740704500979,895.0
1983,0.31,8322.0,816.0,37.0,0.0,100.0,49.73996996352714,150.0,986.1726662599145,885.0
1984,0.15,7335.0,2858.0,160.0,0.0,118.0,47.78754578754579,155.0,988.8975167520694,880.0
1985,0.12,15958.0,3026.0,224.0,0.0,124.0,47.642169728783905,150.0,989.6477782307379,895.0
1986,0.18,8725.0,915.0,51.0,0.0,111.0,50.62085308056872,150.0,986.7989374744585,900.0
1987,0.32,7363.0,1416.0,89.0,0.0,107.0,45.040724793684966,145.0,987.091697080292,890.0
1988,0.39,7257.0,1030.0,55.0,0.0,111.0,46.9871974394879,160.0,991.0323656990323,888.0
1989,0.27,10407.0,1675.0,79.0,0.0,131.0,46.07501103103397,140.0,988.4535550458716,905.0
1990,0.45,10945.0,1825.0,95.0,0.0,119.0,46.01361011822931,150.0,989.7016654598117,890.0
1991,0.4,12516.0,1355.0,73.0,0.0,99.0,47.73630470016207,150.0,986.2028050490884,895.0
1992,0.22,27068.0,3508.0,108.0,0.0,124.0,49.63804890875625,160.0,987.2879030413903,900.0
1993,0.23,8664.0,989.0,69.0,52.0,101.0,43.47056957004601,140.0,989.0775833608452,905.0
1994,0.31,15627.0,1169.0,63.0,2483.5,118.0,46.13523834606268,150.0,987.6065306122449,905.0
1995,0.44,20464.0,1853.0,78.0,64988.2,99.0,45.328276699029125,155.0,988.1598295151838,910.0
1996,0.33,48534.0,2700.0,522.0,0.0,125.0,43.95948246510044,140.0,987.1351152525748,915.0
1997,0.46,41991.0,3791.0,600.0,0.0,112.0,46.69022265246854,160.0,985.946800308404,902.0
1998,0.61,50973.0,11139.0,685.0,0.0,109.0,47.10030298198055,155.0,987.7078557450377,900.0
1999,0.38,46383.0,5144.0,907.0,0.0,103.0,46.682641509433964,140.0,986.0127487562189,900.0
2000,0.39,52007.0,2803.0,477.0,0.0,113.0,46.75161619598503,155.0,989.5061823802164,905.0
2001,0.53,48875.0,2721.0,469.0,0.0,110.0,47.321976787719954,155.0,988.9834728033472,879.0
2002,0.62,50936.0,3155.0,498.0,0.0,103.0,50.21668884242539,155.0,986.8005930318755,879.0
2003,0.61,52956.0,2931.0,443.0,0.0,108.0,46.748402555910545,150.0,989.6892336624353,885.0
2004,0.53,52409.0,2426.0,370.0,0.0,105.0,52.17511214487456,155.0,985.4663171274229,879.0
2005,0.68,53976.0,1834.0,1451.0,0.0,117.0,49.100032478077296,160.0,988.1840305392079,882.0
2006,0.64,56400.0,3485.0,607.0,0.0,102.0,47.6105969878425,155.0,988.6270433546553,879.0
2007,0.66,59011.0,3688.0,523.0,0.0,96.0,45.064988652774915,150.0,991.0661633220743,898.0
2008,0.54,71190.0,2905.0,572.0,4000000.0,102.0,44.2814468238258,140.0,992.4525277435265,918.0
2009,0.65,57398.0,1875.0,374.0,0.0,101.0,42.88044672281216,155.0,993.1230549096763,906.0
2010,0.72,62809.0,2374.0,491.0,5005000.0,88.0,44.87908208296558,160.0,991.7194244604317,903.0
2011,0.61,79091.0,8859.0,1096.0,0.0,96.0,45.215701823949246,140.0,991.8296766743649,918.0
2012,0.64,64503.0,2652.0,537.0,0.0,95.0,48.228679381072325,155.0,989.7717013888889,907.0
2013,0.67,59986.0,2767.0,448.0,85000.0,104.0,43.95929694727104,170.0,992.4706303724928,895.0
2014,0.75,118950.0,4410.0,778.0,0.0,91.0,47.350769801521054,155.0,990.3474331164136,907.0
2015,0.89,57907.0,2173.0,537.0,70000.0,114.0,51.16866737577876,185.0,987.2621502209131,872.0
2016,1.01,56005.0,1281.0,463.0,0.0,99.0,50.78261682242991,170.0,989.8760240305844,895.0
2017,0.91,57041.0,1212.0,491.0,0.0,108.0,46.45075456711676,155.0,991.7817483189241,908.0
2018,0.85,62699.0,1645.0,730.0,0.0,119.0,50.57243963363864,155.0,989.335821908511,896.0
2019,0.98,67864.0,1236.0,534.0,0.0,112.0,47.20332601192344,165.0,991.8082170780316,888.0
2020,1.01,61281.0,1426.0,756.0,0.0,123.0,43.111301369863014,170.0,995.1996001332889,884.0
2021,0.85,61389.0,1431.0,987.0,0.0,108.0,43.52606554593309,170.0,994.018899204244,882.0
2022,0.89,139774.0,2402.0,1750.0,0.0,114.0,43.09959096567668,145.0,993.8274782608696,911.0
2023,,,,,,92.0,49.71628928692126,165.0,989.3843978709248,891.0
2024,1.28,69801.0,1422.0,773.0,0.0,105.0,45.61499340742136,155.0,991.4085121862496,895.0
2025,1.19,72241.0,1022.0,628.0,0.0,111.0,51.197641317608785,165.0,989.9336703741153,892.0
2026,,,,,,22.0,52.72561768530559,138.0,988.3394018205462,920.0
